,round,scenario,algorithm,metric,at,value
0,4,100000,GNB,map,13,0.7468977832117988
0,4,100000,GNB,map,15,0.7454847095912561
0,4,100000,GNB,mrr,1,0.7657705616183125
0,4,100000,GNB,mrr,3,0.8650075414781297
0,4,100000,GNB,mrr,5,0.8692928755212492
0,4,100000,GNB,mrr,7,0.8692928755212492
0,4,100000,GNB,mrr,9,0.8693261467482921
0,4,100000,GNB,mrr,11,0.8693261467482921
0,4,100000,GNB,mrr,13,0.8693261467482921
0,4,100000,GNB,mrr,15,0.8693261467482921
0,4,100000,SVC,map,1,0.7790202342917998
0,4,100000,SVC,map,3,0.7733774109572832
0,4,100000,SVC,map,5,0.7679387054786416
0,4,100000,SVC,map,7,0.7628877605355241
0,4,100000,SVC,map,9,0.7582840040968464
0,4,100000,SVC,map,11,0.7539529447236726
0,4,100000,SVC,map,13,0.7501508823798924
0,4,100000,SVC,map,15,0.7471839262857201
0,4,100000,SVC,mrr,1,0.7790202342917998
0,4,100000,SVC,mrr,3,0.8719382321618744
0,4,100000,SVC,mrr,5,0.8764909478168265
0,4,100000,SVC,mrr,7,0.8766621025406968
0,4,100000,SVC,mrr,9,0.8766621025406968
0,4,100000,SVC,mrr,11,0.8766621025406968
0,4,100000,SVC,mrr,13,0.8766621025406968
0,4,100000,SVC,mrr,15,0.8766621025406968
0,4,100000,recModel,map,1,0.6805962203886079
0,4,100000,recModel,map,3,0.673853251707923
0,4,100000,recModel,map,5,0.6689353207346287
0,4,100000,recModel,map,7,0.6634100699103171
0,4,100000,recModel,map,9,0.6579724197371256
0,4,100000,recModel,map,11,0.6524452112844689
0,4,100000,recModel,map,13,0.6466851760334695
0,4,100000,recModel,map,15,0.6409649410714089
0,4,100000,recModel,mrr,1,0.6805962203886079
0,4,100000,recModel,mrr,3,0.7979327477597373
0,4,100000,recModel,mrr,5,0.8098704640227131
0,4,100000,recModel,mrr,7,0.811080902949415
0,4,100000,recModel,mrr,9,0.8113433759627531
0,4,100000,recModel,mrr,11,0.8113433759627531
0,4,100000,recModel,mrr,13,0.8113433759627531
